procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 449800  61295   4531  71167    1    0     6  1379    3    5 26 17 54  2
 0  1 449804  61296   4532  71168    0    1     0     8  504 1280  1  3 95  1
 1  0 449803  61295   4531  71176    1    0     1    32  497 1450  2  1 97  0
 0  0 449804  61296   4540  71176    0    0     0    40  516 1479  1  1 91  7
 0  0 449804  61296   4540  71188    0    0     0     0  491 1449  1  0 99  0
 0  0 449804  61296   4540  71188    0    0     0     0  522 1485  1  1 98  0
 0  0 449804  61296   4540  71196    0    0     0   104  534 1499  1  1 99  0
 0  0 449804  61296   4540  71200    0    0     0     0  510 1445  1  1 98  0
 0  0 449804  61296   4548  71200    0    0     0    76  504 1348  1  1 99  0
 0  0 449804  61296   4548  71216    0    0     0     0  495 1326  1  1 99  0
 0  0 449804  61296   4548  71216    0    0     0     0  510 1349  1  1 98  0
 0  0 449804  61296   4548  71224    0    0     0     0  520 1348  1  1 99  0
 0  0 449804  61296   4548  71224    0    0     0     0  530 1357  1  1 99  0
 0  1 449804  61296   4548  71232    0    0     0    32  528 1394  1  0 91  9
 0  0 449804  61296   4556  71232    0    0     0    40  512 1367  1  1 83 15
 0  0 449804  61296   4556  71240    0    0     0     0  488 1358  1  1 99  0
 0  0 449804  61296   4556  71240    0    0     0     0  520 1350  1  1 98  0
 0  0 449804  61172   4556  71368    0    0     0     0  547 1377  1  1 99  0
 0  0 449804  61172   4556  71384    0    0     0     0  507 1353  1  0 99  0
 0  0 449804  61172   4564  71376    0    0     0    68  493 1313  1  1 99  0
 0  0 449804  61172   4564  71392    0    0     0     0  486 1334  1  1 98  0
 0  0 449804  61048   4564  71392    0    0     0    36  553 1374  1  1 99  0
 0  0 449804  61048   4564  71404    0    0     0     0  495 1340  1  0 99  0
 1  0 449800  61056   4564  71408    0    0     0     0  558 1386  1  1 99  0
 0  0 449800  61048   4572  71408    0    0     0    92  528 1452  1  1 99  0
 0  0 449800  61048   4572  71416    0    0     0     0  523 1390  1  1 99  0
 0  0 449800  61048   4572  71424    0    0     0    72  527 1383  1  1 99  0
 0  0 449800  61048   4572  71432    0    0     0     0  506 1323  1  1 98  0
 0  0 449800  61048   4572  71432    0    0     0     0  521 1374  1  1 99  0
 0  2 449800  61048   4572  71440    0    0     0    40  533 1361  1  0 91  8
 0  0 449800  61048   4580  71432    0    0     0    52  495 1329  1  1 51 48
 0  0 449800  61048   4580  71448    0    0     0     0  494 1321  1  1 98  0
 0  0 449800  61048   4580  71448    0    0     0     0  535 1368  1  1 99  0
 0  0 449800  61048   4580  71456    0    0     0     0  519 1371  1  0 99  0
 0  0 449800  61048   4588  71448    0    0     0    68  516 1387  1  1 99  0
 0  0 449800  61048   4588  71464    0    0     0     0  501 1349  1  1 99  0
 0  0 449800  61048   4588  71472    0    0     0    16  513 1368  1  1 98  0
 0  0 449800  61048   4588  71476    0    0     0     0  511 1343  1  1 98  0
 0  0 449800  61048   4588  71484    0    0     0     0  563 1416  1  1 99  0
