
top - 15:20:16 up 11 min,  2 users,  load average: 0.12, 0.33, 0.30
Tasks: 187 total,   2 running, 185 sleeping,   0 stopped,   0 zombie
Cpu(s):  1.6%us,  0.7%sy,  0.9%ni, 91.8%id,  4.9%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   4008132k total,  2234824k used,  1773308k free,   190076k buffers
Swap:  4151292k total,        0k used,  4151292k free,   622864k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                      
 1139 root      20   0  160m  45m  20m S    6  1.2   0:14.24 Xorg                                                                                                         
 2349 james     20   0 1234m 203m  55m S    4  5.2   0:10.50 compiz                                                                                                       
 2683 james     20   0  611m  18m  13m S    4  0.5   0:06.84 psensor                                                                                                      
 2512 james     20   0  518m  19m  10m S    2  0.5   0:00.43 unity-panel-ser                                                                                              
 3023 james     20   0 1090m 245m  24m S    2  6.3   0:06.57 chromium-browse                                                                                              
 3203 james     20   0 17336 1320  928 R    2  0.0   0:00.01 top                                                                                                          
    1 root      20   0 24596 2604 1372 S    0  0.1   0:00.80 init                                                                                                         
    2 root      20   0     0    0    0 S    0  0.0   0:00.00 kthreadd                                                                                                     
    3 root      20   0     0    0    0 S    0  0.0   0:00.04 ksoftirqd/0                                                                                                  
    6 root      RT   0     0    0    0 S    0  0.0   0:00.03 migration/0                                                                                                  
    7 root      RT   0     0    0    0 S    0  0.0   0:00.00 watchdog/0                                                                                                   
    8 root      RT   0     0    0    0 S    0  0.0   0:00.09 migration/1                                                                                                  
    9 root      20   0     0    0    0 S    0  0.0   0:00.43 kworker/1:0                                                                                                  
   10 root      20   0     0    0    0 S    0  0.0   0:00.01 ksoftirqd/1                                                                                                  
   11 root      20   0     0    0    0 S    0  0.0   0:00.32 kworker/0:1                                                                                                  
   12 root      RT   0     0    0    0 S    0  0.0   0:00.00 watchdog/1                                                                                                   
   13 root      RT   0     0    0    0 S    0  0.0   0:00.09 migration/2                                                                                                  
   14 root      20   0     0    0    0 S    0  0.0   0:00.00 kworker/2:0                                                                                                  
   15 root      20   0     0    0    0 S    0  0.0   0:00.00 ksoftirqd/2                                                                                                  
   16 root      RT   0     0    0    0 S    0  0.0   0:00.00 watchdog/2                                                                                                   
   17 root      RT   0     0    0    0 S    0  0.0   0:00.05 migration/3                                                                                                  
   18 root      20   0     0    0    0 S    0  0.0   0:00.00 kworker/3:0                                                                                                  
   19 root      20   0     0    0    0 S    0  0.0   0:00.00 ksoftirqd/3                                                                                                  
   20 root      RT   0     0    0    0 S    0  0.0   0:00.00 watchdog/3                                                                                                   
   21 root       0 -20     0    0    0 S    0  0.0   0:00.00 cpuset                                                                                                       
   22 root       0 -20     0    0    0 S    0  0.0   0:00.00 khelper                                                                                                      
   23 root      20   0     0    0    0 S    0  0.0   0:00.00 kdevtmpfs                                                                                                    
   24 root       0 -20     0    0    0 S    0  0.0   0:00.00 netns                                                                                                        
   26 root      20   0     0    0    0 S    0  0.0   0:00.00 sync_supers                                                                                                  
   27 root      20   0     0    0    0 S    0  0.0   0:00.00 bdi-default                                                                                                  
   28 root       0 -20     0    0    0 S    0  0.0   0:00.00 kintegrityd                                                                                                  
   29 root       0 -20     0    0    0 S    0  0.0   0:00.00 kblockd                                                                                                      
   30 root       0 -20     0    0    0 S    0  0.0   0:00.00 ata_sff                                                                                                      
   31 root      20   0     0    0    0 S    0  0.0   0:00.00 khubd                                                                                                        
   32 root       0 -20     0    0    0 S    0  0.0   0:00.00 md                                                                                                           
   33 root      20   0     0    0    0 S    0  0.0   0:00.00 kworker/1:1                                                                                                  
   34 root      20   0     0    0    0 S    0  0.0   0:00.20 kworker/2:1                                                                                                  
   35 root      20   0     0    0    0 S    0  0.0   0:00.32 kworker/3:1                                                                                                  
   37 root      20   0     0    0    0 S    0  0.0   0:00.00 khungtaskd                                                                                                   
   38 root      20   0     0    0    0 S    0  0.0   0:00.00 kswapd0                                                                                                      
   39 root      25   5     0    0    0 S    0  0.0   0:00.00 ksmd                                                                                                         
   40 root      39  19     0    0    0 S    0  0.0   0:00.00 khugepaged                                                                                                   
   41 root      20   0     0    0    0 S    0  0.0   0:00.00 fsnotify_mark                                                                                                
   42 root      20   0     0    0    0 S    0  0.0   0:00.00 ecryptfs-kthrea                                                                                              
   43 root       0 -20     0    0    0 S    0  0.0   0:00.00 crypto                                                                                                       
   51 root       0 -20     0    0    0 S    0  0.0   0:00.00 kthrotld                                                                                                     
   52 root      20   0     0    0    0 S    0  0.0   0:00.00 scsi_eh_0                                                                                                    
   53 root      20   0     0    0    0 S    0  0.0   0:00.00 scsi_eh_1                                                                                                    
   54 root      20   0     0    0    0 S    0  0.0   0:00.00 scsi_eh_2                                                                                                    
   55 root      20   0     0    0    0 S    0  0.0   0:00.00 scsi_eh_3                                                                                                    
   56 root      20   0     0    0    0 S    0  0.0   0:00.00 scsi_eh_4                                                                                                    
   57 root      20   0     0    0    0 S    0  0.0   0:00.00 scsi_eh_5                                                                                                    
   60 root      20   0     0    0    0 S    0  0.0   0:00.00 kworker/u:4                                                                                                  
   61 root      20   0     0    0    0 S    0  0.0   0:00.02 kworker/u:5                                                                                                  
   82 root       0 -20     0    0    0 S    0  0.0   0:00.00 devfreq_wq                                                                                                   
  256 root      20   0     0    0    0 S    0  0.0   0:00.05 jbd2/sda1-8                                                                                                  
  257 root       0 -20     0    0    0 S    0  0.0   0:00.00 ext4-dio-unwrit                                                                                              
  282 root      20   0 30792 1444 1076 S    0  0.0   0:00.02 mountall                                                                                                     
  389 root      20   0 19200 1008  732 S    0  0.0   0:00.00 rpcbind                                                                                                      
  478 statd     20   0 21504 1364  904 S    0  0.0   0:00.00 rpc.statd                                                                                                    
  490 root       0 -20     0    0    0 S    0  0.0   0:00.00 rpciod                                                                                                       
  498 root       0 -20     0    0    0 S    0  0.0   0:00.00 nfsiod                                                                                                       
  533 root      20   0 17232  636  440 S    0  0.0   0:00.05 upstart-udev-br                                                                                              
  554 root      20   0 50032 2908 2300 S    0  0.1   0:00.00 sshd                                                                                                         
  558 root      20   0 25540  680  444 S    0  0.0   0:00.00 rpc.idmapd                                                                                                   
  564 root      20   0 21936 1780  836 S    0  0.0   0:00.04 udevd                                                                                                        
  611 root     -51   0     0    0    0 S    0  0.0   0:00.00 irq/52-mei                                                                                                   
  612 syslog    20   0  243m 1456 1136 S    0  0.0   0:00.03 rsyslogd                                                                                                     
  620 messageb  20   0 25072 2248  832 S    0  0.1   0:00.31 dbus-daemon                                                                                                  
  632 root      20   0 21188 1724 1444 S    0  0.0   0:00.00 bluetoothd                                                                                                   
  703 root       0 -20     0    0    0 S    0  0.0   0:00.00 edac-poller                                                                                                  
  705 root      10 -10     0    0    0 S    0  0.0   0:00.00 krfcommd                                                                                                     
  739 root      20   0 21832 1236  392 S    0  0.0   0:00.00 udevd                                                                                                        
  740 root      20   0 21932 1284  340 S    0  0.0   0:00.00 udevd                                                                                                        
  839 root      20   0 15188  392  196 S    0  0.0   0:00.00 upstart-socket-                                                                                              
  850 root       0 -20     0    0    0 S    0  0.0   0:00.00 hd-audio0                                                                                                    
  874 root      20   0  101m 4164 3092 S    0  0.1   0:00.01 cupsd                                                                                                        
  884 root       0 -20     0    0    0 S    0  0.0   0:00.00 hd-audio1                                                                                                    
  889 avahi     20   0 32312 1540 1264 S    0  0.0   0:00.00 avahi-daemon                                                                                                 
  890 avahi     20   0 32180  468  216 S    0  0.0   0:00.00 avahi-daemon                                                                                                 
  919 root      20   0 79040 3184 2388 S    0  0.1   0:00.01 modem-manager                                                                                                
  955 root      20   0  232m 5248 4152 S    0  0.1   0:00.16 NetworkManager                                                                                               
  958 root      20   0  190m 4108 2972 S    0  0.1   0:00.18 polkitd                                                                                                      
 1018 root      20   0 19984  976  812 S    0  0.0   0:00.00 getty                                                                                                        
 1029 root      20   0 19984  968  812 S    0  0.0   0:00.00 getty                                                                                                        
 1059 root      20   0 19984  972  812 S    0  0.0   0:00.00 getty                                                                                                        
